age,gender,semester,study_hours,attendance,assignment_completion,previous_gpa,mock_test_score,sleep_hours,screen_time,stress_level,programming_practice_hours,class_participation,learning_style,final_gpa
21,Female,3,4.37,100,64,8.91,43,7.82,3.69,9,5.22,6,Auditory,7.48
17,Male,2,9.56,89,71,5.43,54,4.35,4.83,8,5.13,10,Reading,6.73
17,Female,7,7.59,56,69,7.23,92,6.42,2.28,10,5.02,7,Visual,7.19
19,Male,8,6.39,81,84,5.89,83,7.71,3.9,5,3.29,2,Kinesthetic,6.99
23,Male,3,2.4,97,98,8.33,91,4.96,5.31,4,3.91,6,Reading,7.78
21,Female,4,2.4,68,65,6.2,50,7.85,6.0,1,4.65,4,Visual,5.95
18,Female,6,1.52,55,96,8.34,42,4.83,1.37,9,0.55,9,Reading,5.92
17,Female,5,8.8,69,100,6.01,53,8.0,5.65,8,1.8,8,Kinesthetic,6.72
19,Female,4,6.41,76,75,8.49,70,6.34,1.4,2,1.01,8,Visual,7.91
22,Female,1,7.37,92,90,4.66,94,7.42,1.2,4,3.07,2,Kinesthetic,7.12
19,Male,1,1.19,86,73,6.0,70,8.59,2.07,4,5.03,5,Reading,6.24
22,Female,3,9.73,97,48,7.14,45,6.04,5.58,7,1.38,2,Reading,7.14
23,Female,7,8.49,56,51,4.74,85,5.16,1.37,3,4.39,3,Kinesthetic,6.38
21,Female,1,2.91,54,41,5.49,89,8.34,1.15,8,2.43,8,Auditory,5.29
20,Female,7,2.64,60,77,9.45,88,4.81,1.83,7,5.42,5,Auditory,7.57
20,Male,1,2.65,64,44,9.68,51,7.16,7.65,10,3.76,4,Visual,6.5
23,Female,7,3.74,52,44,8.42,96,8.62,7.35,4,5.86,5,Visual,7.16
18,Female,3,5.72,54,91,5.84,76,7.37,1.61,9,1.47,8,Auditory,6.08
23,Female,3,4.89,72,61,5.88,58,4.98,3.13,6,5.54,10,Kinesthetic,6.06
24,Female,5,3.62,86,44,7.92,51,4.76,7.63,3,2.14,7,Reading,6.45
22,Male,2,6.51,58,98,5.12,82,5.26,1.68,7,3.73,6,Reading,6.31
19,Female,3,2.26,64,43,9.53,41,5.96,1.66,6,1.05,2,Visual,6.47
20,Male,7,3.63,52,100,5.69,48,4.8,1.6,8,4.56,10,Visual,5.55
23,Female,5,4.3,78,48,9.8,45,7.99,7.84,5,5.87,5,Reading,7.58
17,Male,4,5.1,55,68,7.13,46,5.79,6.2,6,4.72,10,Auditory,6.18
18,Male,1,8.07,66,61,8.59,39,8.68,2.5,1,3.69,9,Visual,7.94
22,Male,7,2.8,75,66,4.51,39,8.21,1.32,8,2.69,9,Reading,4.8
17,Female,7,5.63,70,49,9.21,54,8.54,7.76,1,2.07,9,Visual,7.56
20,Female,2,6.33,57,55,5.93,88,5.47,3.98,3,2.51,3,Auditory,6.38
19,Male,7,1.42,70,81,8.04,89,6.87,5.19,2,1.97,9,Kinesthetic,6.95
20,Male,8,6.47,60,100,8.77,92,5.61,2.95,6,5.0,9,Visual,8.26
18,Male,7,2.53,87,81,5.37,64,5.28,6.31,8,5.36,5,Reading,5.64
